Namespace(active_connection=10, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=1, feat_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[80, 10], knn_graph_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random/knn_index_200.npy', label_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_label_celeb_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3', loss='normal', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0.0, seed=1, weight_decay=0.0001, workers=0)
log dir:   params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3
Current lr 0.01
Epoch:[0][1480/3880]	Time 0.511 (0.588)	Data 0.323 (0.494)	Loss 0.162 (0.309)	Accuracy 0.941 (0.869)	Precison 0.999 (0.884)	Recall 0.929 (0.922)
Epoch:[0][1500/3880]	Time 0.637 (0.587)	Data 0.527 (0.494)	Loss 0.089 (0.307)	Accuracy 0.970 (0.870)	Precison 0.963 (0.885)	Recall 0.985 (0.923)
Epoch:[0][1520/3880]	Time 0.480 (0.587)	Data 0.398 (0.494)	Loss 0.186 (0.304)	Accuracy 0.942 (0.871)	Precison 0.983 (0.885)	Recall 0.933 (0.923)
Epoch:[0][1540/3880]	Time 0.461 (0.587)	Data 0.412 (0.493)	Loss 0.304 (0.303)	Accuracy 0.881 (0.872)	Precison 0.834 (0.886)	Recall 0.989 (0.924)
Epoch:[0][1560/3880]	Time 0.776 (0.586)	Data 0.730 (0.493)	Loss 0.576 (0.301)	Accuracy 0.741 (0.873)	Precison 0.561 (0.887)	Recall 0.983 (0.924)
Epoch:[0][1580/3880]	Time 0.617 (0.586)	Data 0.574 (0.493)	Loss 0.147 (0.299)	Accuracy 0.939 (0.874)	Precison 0.898 (0.887)	Recall 0.976 (0.925)
Epoch:[0][1600/3880]	Time 0.509 (0.586)	Data 0.433 (0.493)	Loss 0.116 (0.297)	Accuracy 0.957 (0.875)	Precison 0.969 (0.888)	Recall 0.974 (0.925)
Epoch:[0][1620/3880]	Time 0.646 (0.586)	Data 0.483 (0.493)	Loss 0.172 (0.296)	Accuracy 0.925 (0.875)	Precison 0.887 (0.889)	Recall 0.979 (0.926)
Epoch:[0][1640/3880]	Time 0.536 (0.586)	Data 0.473 (0.493)	Loss 0.100 (0.295)	Accuracy 0.963 (0.876)	Precison 0.947 (0.889)	Recall 0.982 (0.926)
Epoch:[0][1660/3880]	Time 0.489 (0.586)	Data 0.400 (0.493)	Loss 0.173 (0.294)	Accuracy 0.938 (0.877)	Precison 0.935 (0.890)	Recall 0.979 (0.926)
Epoch:[0][1680/3880]	Time 0.548 (0.586)	Data 0.444 (0.493)	Loss 0.103 (0.292)	Accuracy 0.955 (0.877)	Precison 0.947 (0.890)	Recall 0.997 (0.926)
Epoch:[0][1700/3880]	Time 0.653 (0.586)	Data 0.603 (0.493)	Loss 0.159 (0.291)	Accuracy 0.946 (0.878)	Precison 0.920 (0.891)	Recall 0.980 (0.927)
