Namespace(active_connection=5, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=10, feat_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[5, 5], knn_graph_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_feat_deepfashion_random/knn_index_20.npy', label_path='/workspace/data/20200811_clean/random_deepfashion/LEAP_random_deepfashion_200_3/train_label_deepfashion_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3', loss='FL1', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0, seed=1, weight_decay=0.0001, workers=1)
log dir:   params/ex1_baseline_sup_random_deepfashion/baseline_sup_random_deepfashion/LEAP_random_deepfashion_200_3
Current lr 0.01
Epoch:[1][600/1012]	Time 0.012 (0.018)	Data 0.003 (0.007)	Loss 0.120 (0.119)	Accuracy 0.625 (0.622)	Precison 0.491 (0.517)	Recall 0.897 (0.901)
Epoch:[1][620/1012]	Time 0.017 (0.018)	Data 0.007 (0.007)	Loss 0.126 (0.119)	Accuracy 0.650 (0.622)	Precison 0.519 (0.516)	Recall 0.933 (0.901)
Epoch:[1][640/1012]	Time 0.017 (0.018)	Data 0.002 (0.007)	Loss 0.122 (0.119)	Accuracy 0.825 (0.623)	Precison 0.783 (0.517)	Recall 0.900 (0.899)
Epoch:[1][660/1012]	Time 0.016 (0.018)	Data 0.007 (0.007)	Loss 0.123 (0.120)	Accuracy 0.562 (0.623)	Precison 0.484 (0.517)	Recall 0.939 (0.898)
Epoch:[1][680/1012]	Time 0.017 (0.018)	Data 0.008 (0.007)	Loss 0.133 (0.120)	Accuracy 0.625 (0.622)	Precison 0.579 (0.516)	Recall 0.846 (0.898)
Epoch:[1][700/1012]	Time 0.013 (0.018)	Data 0.005 (0.007)	Loss 0.118 (0.119)	Accuracy 0.738 (0.622)	Precison 0.679 (0.517)	Recall 0.900 (0.898)
Epoch:[1][720/1012]	Time 0.021 (0.018)	Data 0.010 (0.007)	Loss 0.118 (0.119)	Accuracy 0.625 (0.623)	Precison 0.509 (0.517)	Recall 0.935 (0.898)
Epoch:[1][740/1012]	Time 0.017 (0.018)	Data 0.008 (0.007)	Loss 0.126 (0.120)	Accuracy 0.600 (0.622)	Precison 0.474 (0.516)	Recall 0.931 (0.898)
Epoch:[1][760/1012]	Time 0.017 (0.018)	Data 0.008 (0.007)	Loss 0.126 (0.119)	Accuracy 0.562 (0.622)	Precison 0.434 (0.517)	Recall 0.821 (0.898)
Epoch:[1][780/1012]	Time 0.017 (0.018)	Data 0.008 (0.007)	Loss 0.121 (0.119)	Accuracy 0.562 (0.622)	Precison 0.466 (0.516)	Recall 0.871 (0.898)
Epoch:[1][800/1012]	Time 0.014 (0.018)	Data 0.004 (0.007)	Loss 0.115 (0.119)	Accuracy 0.637 (0.622)	Precison 0.509 (0.516)	Recall 0.967 (0.898)
Epoch:[1][820/1012]	Time 0.016 (0.018)	Data 0.006 (0.007)	Loss 0.113 (0.119)	Accuracy 0.713 (0.623)	Precison 0.604 (0.517)	Recall 0.879 (0.898)
Epoch:[1][840/1012]	Time 0.015 (0.018)	Data 0.001 (0.007)	Loss 0.129 (0.119)	Accuracy 0.675 (0.622)	Precison 0.564 (0.517)	Recall 0.939 (0.898)
Epoch:[1][860/1012]	Time 0.016 (0.018)	Data 0.004 (0.007)	Loss 0.111 (0.119)	Accuracy 0.663 (0.623)	Precison 0.567 (0.517)	Recall 0.971 (0.898)
Epoch:[1][880/1012]	Time 0.028 (0.018)	Data 0.010 (0.007)	Loss 0.112 (0.119)	Accuracy 0.650 (0.623)	Precison 0.545 (0.518)	Recall 0.909 (0.898)
Epoch:[1][900/1012]	Time 0.017 (0.018)	Data 0.008 (0.007)	Loss 0.113 (0.119)	Accuracy 0.650 (0.623)	Precison 0.582 (0.518)	Recall 0.865 (0.898)
Epoch:[1][920/1012]	Time 0.017 (0.018)	Data 0.006 (0.007)	Loss 0.118 (0.119)	Accuracy 0.625 (0.623)	Precison 0.529 (0.518)	Recall 0.818 (0.898)
Epoch:[1][940/1012]	Time 0.016 (0.018)	Data 0.007 (0.007)	Loss 0.124 (0.119)	Accuracy 0.562 (0.623)	Precison 0.467 (0.518)	Recall 0.903 (0.898)
Epoch:[1][960/1012]	Time 0.015 (0.018)	Data 0.004 (0.007)	Loss 0.113 (0.119)	Accuracy 0.800 (0.623)	Precison 0.735 (0.518)	Recall 0.923 (0.899)
Epoch:[1][980/1012]	Time 0.016 (0.018)	Data 0.006 (0.007)	Loss 0.119 (0.119)	Accuracy 0.613 (0.623)	Precison 0.528 (0.519)	Recall 0.824 (0.898)
Epoch:[1][1000/1012]	Time 0.018 (0.018)	Data 0.007 (0.007)	Loss 0.111 (0.119)	Accuracy 0.663 (0.623)	Precison 0.537 (0.518)	Recall 0.935 (0.898)
Current lr 0.001
Change lr to 0.0001
Epoch:[2][0/1012]	Time 0.846 (0.846)	Data 0.825 (0.825)	Loss 0.108 (0.108)	Accuracy 0.688 (0.688)	Precison 0.580 (0.580)	Recall 0.879 (0.879)
Epoch:[2][20/1012]	Time 0.013 (0.055)	Data 0.000 (0.039)	Loss 0.137 (0.121)	Accuracy 0.575 (0.652)	Precison 0.544 (0.551)	Recall 0.795 (0.874)
Epoch:[2][40/1012]	Time 0.017 (0.035)	Data 0.009 (0.021)	Loss 0.129 (0.121)	Accuracy 0.675 (0.645)	Precison 0.588 (0.535)	Recall 0.857 (0.869)
Epoch:[2][60/1012]	Time 0.018 (0.029)	Data 0.010 (0.017)	Loss 0.125 (0.120)	Accuracy 0.475 (0.646)	Precison 0.367 (0.539)	Recall 0.846 (0.872)
Epoch:[2][80/1012]	Time 0.018 (0.026)	Data 0.008 (0.015)	Loss 0.117 (0.120)	Accuracy 0.562 (0.642)	Precison 0.407 (0.536)	Recall 0.880 (0.876)
